year;month;VESSELS;DAYS;GT;fleet_segment
;seed;164;12;37;ALB_18_DTS_1224
2004;Jan;164;12;37;ALB_18_DTS_1224
2004;Feb;164;12;37;ALB_18_DTS_1224
2004;Mar;164;12;37;ALB_18_DTS_1224
2004;Apr;164;12;37;ALB_18_DTS_1224
2004;May;164;12;37;ALB_18_DTS_1224
2004;Jun;164;12;37;ALB_18_DTS_1224
2004;Jul;164;12;37;ALB_18_DTS_1224
2004;Aug;164;12;37;ALB_18_DTS_1224
2004;Sep;164;12;37;ALB_18_DTS_1224
2004;Oct;164;12;37;ALB_18_DTS_1224
2004;Nov;164;12;37;ALB_18_DTS_1224
2004;Dec;164;12;37;ALB_18_DTS_1224
2005;Jan;164;12;37;ALB_18_DTS_1224
2005;Feb;164;12;37;ALB_18_DTS_1224
2005;Mar;164;12;37;ALB_18_DTS_1224
2005;Apr;164;12;37;ALB_18_DTS_1224
2005;May;164;12;37;ALB_18_DTS_1224
2005;Jun;164;12;37;ALB_18_DTS_1224
2005;Jul;164;12;37;ALB_18_DTS_1224
2005;Aug;164;12;37;ALB_18_DTS_1224
2005;Sep;164;12;37;ALB_18_DTS_1224
2005;Oct;164;12;37;ALB_18_DTS_1224
2005;Nov;164;12;37;ALB_18_DTS_1224
2005;Dec;164;12;37;ALB_18_DTS_1224
2006;Jan;164;12;37;ALB_18_DTS_1224
2006;Feb;164;12;37;ALB_18_DTS_1224
2006;Mar;164;12;37;ALB_18_DTS_1224
2006;Apr;164;12;37;ALB_18_DTS_1224
2006;May;164;12;37;ALB_18_DTS_1224
2006;Jun;164;12;37;ALB_18_DTS_1224
2006;Jul;164;12;37;ALB_18_DTS_1224
2006;Aug;164;12;37;ALB_18_DTS_1224
2006;Sep;164;12;37;ALB_18_DTS_1224
2006;Oct;164;12;37;ALB_18_DTS_1224
2006;Nov;164;12;37;ALB_18_DTS_1224
2006;Dec;164;12;37;ALB_18_DTS_1224
2007;Jan;164;12;37;ALB_18_DTS_1224
2007;Feb;164;12;37;ALB_18_DTS_1224
2007;Mar;164;12;37;ALB_18_DTS_1224
2007;Apr;164;12;37;ALB_18_DTS_1224
2007;May;164;12;37;ALB_18_DTS_1224
2007;Jun;164;12;37;ALB_18_DTS_1224
2007;Jul;164;12;37;ALB_18_DTS_1224
2007;Aug;164;12;37;ALB_18_DTS_1224
2007;Sep;164;12;37;ALB_18_DTS_1224
2007;Oct;164;12;37;ALB_18_DTS_1224
2007;Nov;164;12;37;ALB_18_DTS_1224
2007;Dec;164;12;37;ALB_18_DTS_1224
