year;month;PRODUCTION;fleet_segment
;seed;39416.66667;ALB_18_DTS_1224
2004;Jan;39416.66667;ALB_18_DTS_1224
2004;Feb;39416.66667;ALB_18_DTS_1224
2004;Mar;39416.66667;ALB_18_DTS_1224
2004;Apr;39416.66667;ALB_18_DTS_1224
2004;May;39416.66667;ALB_18_DTS_1224
2004;Jun;39416.66667;ALB_18_DTS_1224
2004;Jul;39416.66667;ALB_18_DTS_1224
2004;Aug;39416.66667;ALB_18_DTS_1224
2004;Sep;39416.66667;ALB_18_DTS_1224
2004;Oct;39416.66667;ALB_18_DTS_1224
2004;Nov;39416.66667;ALB_18_DTS_1224
2004;Dec;39416.66667;ALB_18_DTS_1224
2005;Jan;22250;ALB_18_DTS_1224
2005;Feb;22250;ALB_18_DTS_1224
2005;Mar;22250;ALB_18_DTS_1224
2005;Apr;22250;ALB_18_DTS_1224
2005;May;22250;ALB_18_DTS_1224
2005;Jun;22250;ALB_18_DTS_1224
2005;Jul;22250;ALB_18_DTS_1224
2005;Aug;22250;ALB_18_DTS_1224
2005;Sep;22250;ALB_18_DTS_1224
2005;Oct;22250;ALB_18_DTS_1224
2005;Nov;22250;ALB_18_DTS_1224
2005;Dec;22250;ALB_18_DTS_1224
2006;Jan;23333.33333;ALB_18_DTS_1224
2006;Feb;23333.33333;ALB_18_DTS_1224
2006;Mar;23333.33333;ALB_18_DTS_1224
2006;Apr;23333.33333;ALB_18_DTS_1224
2006;May;23333.33333;ALB_18_DTS_1224
2006;Jun;23333.33333;ALB_18_DTS_1224
2006;Jul;23333.33333;ALB_18_DTS_1224
2006;Aug;23333.33333;ALB_18_DTS_1224
2006;Sep;23333.33333;ALB_18_DTS_1224
2006;Oct;23333.33333;ALB_18_DTS_1224
2006;Nov;23333.33333;ALB_18_DTS_1224
2006;Dec;23333.33333;ALB_18_DTS_1224
2007;Jan;22916.66667;ALB_18_DTS_1224
2007;Feb;22916.66667;ALB_18_DTS_1224
2007;Mar;22916.66667;ALB_18_DTS_1224
2007;Apr;22916.66667;ALB_18_DTS_1224
2007;May;22916.66667;ALB_18_DTS_1224
2007;Jun;22916.66667;ALB_18_DTS_1224
2007;Jul;22916.66667;ALB_18_DTS_1224
2007;Aug;22916.66667;ALB_18_DTS_1224
2007;Sep;22916.66667;ALB_18_DTS_1224
2007;Oct;22916.66667;ALB_18_DTS_1224
2007;Nov;22916.66667;ALB_18_DTS_1224
2007;Dec;22916.66667;ALB_18_DTS_1224
2008;Jan;22916.66667;ALB_18_DTS_1224
2008;Feb;22916.66667;ALB_18_DTS_1224
2008;Mar;22916.66667;ALB_18_DTS_1224
2008;Apr;22916.66667;ALB_18_DTS_1224
2008;May;22916.66667;ALB_18_DTS_1224
2008;Jun;22916.66667;ALB_18_DTS_1224
2008;Jul;22916.66667;ALB_18_DTS_1224
2008;Aug;22916.66667;ALB_18_DTS_1224
2008;Sep;22916.66667;ALB_18_DTS_1224
2008;Oct;22916.66667;ALB_18_DTS_1224
2008;Nov;22916.66667;ALB_18_DTS_1224
2008;Dec;22916.66667;ALB_18_DTS_1224
2009;Jan;28000;ALB_18_DTS_1224
2009;Feb;28000;ALB_18_DTS_1224
2009;Mar;28000;ALB_18_DTS_1224
2009;Apr;28000;ALB_18_DTS_1224
2009;May;28000;ALB_18_DTS_1224
2009;Jun;28000;ALB_18_DTS_1224
2009;Jul;28000;ALB_18_DTS_1224
2009;Aug;28000;ALB_18_DTS_1224
2009;Sep;28000;ALB_18_DTS_1224
2009;Oct;28000;ALB_18_DTS_1224
2009;Nov;28000;ALB_18_DTS_1224
2009;Dec;28000;ALB_18_DTS_1224
2010;Jan;23333.33333;ALB_18_DTS_1224
2010;Feb;23333.33333;ALB_18_DTS_1224
2010;Mar;23333.33333;ALB_18_DTS_1224
2010;Apr;23333.33333;ALB_18_DTS_1224
2010;May;23333.33333;ALB_18_DTS_1224
2010;Jun;23333.33333;ALB_18_DTS_1224
2010;Jul;23333.33333;ALB_18_DTS_1224
2010;Aug;23333.33333;ALB_18_DTS_1224
2010;Sep;23333.33333;ALB_18_DTS_1224
2010;Oct;23333.33333;ALB_18_DTS_1224
2010;Nov;23333.33333;ALB_18_DTS_1224
2010;Dec;23333.33333;ALB_18_DTS_1224
2011;Jan;23833.33333;ALB_18_DTS_1224
2011;Feb;23833.33333;ALB_18_DTS_1224
2011;Mar;23833.33333;ALB_18_DTS_1224
2011;Apr;23833.33333;ALB_18_DTS_1224
2011;May;23833.33333;ALB_18_DTS_1224
2011;Jun;23833.33333;ALB_18_DTS_1224
2011;Jul;23833.33333;ALB_18_DTS_1224
2011;Aug;23833.33333;ALB_18_DTS_1224
2011;Sep;23833.33333;ALB_18_DTS_1224
2011;Oct;23833.33333;ALB_18_DTS_1224
2011;Nov;23833.33333;ALB_18_DTS_1224
2011;Dec;23833.33333;ALB_18_DTS_1224
2012;Jan;74916.66667;ALB_18_DTS_1224
2012;Feb;74916.66667;ALB_18_DTS_1224
2012;Mar;74916.66667;ALB_18_DTS_1224
2012;Apr;74916.66667;ALB_18_DTS_1224
2012;May;74916.66667;ALB_18_DTS_1224
2012;Jun;74916.66667;ALB_18_DTS_1224
2012;Jul;74916.66667;ALB_18_DTS_1224
2012;Aug;74916.66667;ALB_18_DTS_1224
2012;Sep;74916.66667;ALB_18_DTS_1224
2012;Oct;74916.66667;ALB_18_DTS_1224
2012;Nov;74916.66667;ALB_18_DTS_1224
2012;Dec;74916.66667;ALB_18_DTS_1224
2013;Jan;70916.66667;ALB_18_DTS_1224
2013;Feb;70916.66667;ALB_18_DTS_1224
2013;Mar;70916.66667;ALB_18_DTS_1224
2013;Apr;70916.66667;ALB_18_DTS_1224
2013;May;70916.66667;ALB_18_DTS_1224
2013;Jun;70916.66667;ALB_18_DTS_1224
2013;Jul;70916.66667;ALB_18_DTS_1224
2013;Aug;70916.66667;ALB_18_DTS_1224
2013;Sep;70916.66667;ALB_18_DTS_1224
2013;Oct;70916.66667;ALB_18_DTS_1224
2013;Nov;70916.66667;ALB_18_DTS_1224
2013;Dec;70916.66667;ALB_18_DTS_1224
